Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users/search?first_name=%D0%92&last_name=%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2,1,0,257.909906002169,257.909906002169,257.909906002169,257.909906002169,2.0,0.03193024078452625,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/users/search?first_name=%D0%92&last_name=%D0%92%D0%BE%D0%BB%D0%BA%D0%BE%D0%B2%D0%B0,2,0,76,76.65209349943325,75.803227002325,77.5009599965415,2.0,0.0638604815690525,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/users/search?first_name=%D0%92&last_name=%D0%93%D0%BE%D1%80%D1%88%D0%BA%D0%BE%D0%B2%D0%B0,1,0,116.26833399350289,116.26833399350289,116.26833399350289,116.26833399350289,2.0,0.03193024078452625,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/users/search?first_name=%D0%92&last_name=%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2%D0%B0,1,0,112.43727499822853,112.43727499822853,112.43727499822853,112.43727499822853,2.0,0.03193024078452625,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/users/search?first_name=%D0%92&last_name=%D0%95%D1%80%D0%BC%D0%B0%D0%BA%D0%BE%D0%B2%D0%B0,1,0,144.59601400449174,144.59601400449174,144.59601400449174,144.59601400449174,2.0,0.03193024078452625,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/users/search?first_name=%D0%92&last_name=%D0%95%D1%84%D1%80%D0%B5%D0%BC%D0%BE%D0%B2,1,0,132.2462190000806,132.2462190000806,132.2462190000806,132.2462190000806,2.0,0.03193024078452625,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/users/search?first_name=%D0%92&last_name=%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,3,0,120.0,174.80335866760774,73.49574600084452,327.2118690001662,2.0,0.09579072235357874,0.0,120,120,330,330,330,330,330,330,330,330,330
GET,/users/search?first_name=%D0%92&last_name=%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%BE%D0%B2%D0%B0,1,0,136.12623600056395,136.12623600056395,136.12623600056395,136.12623600056395,2.0,0.03193024078452625,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/users/search?first_name=%D0%92&last_name=%D0%9A%D0%B0%D1%80%D0%B0%D1%81%D0%B5%D0%B2%D0%B0,1,0,77.01200200244784,77.01200200244784,77.01200200244784,77.01200200244784,2.0,0.03193024078452625,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/users/search?first_name=%D0%92&last_name=%D0%9A%D0%B0%D1%80%D0%BF%D0%BE%D0%B2%D0%B0,1,0,71.02687500446336,71.02687500446336,71.02687500446336,71.02687500446336,2.0,0.03193024078452625,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/users/search?first_name=%D0%92&last_name=%D0%9A%D0%B0%D1%81%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2,1,0,193.86508699972183,193.86508699972183,193.86508699972183,193.86508699972183,2.0,0.03193024078452625,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/users/search?first_name=%D0%92&last_name=%D0%9A%D0%BE%D0%B7%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,1,0,84.09024400316412,84.09024400316412,84.09024400316412,84.09024400316412,2.0,0.03193024078452625,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/users/search?first_name=%D0%92&last_name=%D0%9A%D1%83%D0%B4%D1%80%D1%8F%D0%B2%D1%86%D0%B5%D0%B2%D0%B0,1,0,84.61892500054091,84.61892500054091,84.61892500054091,84.61892500054091,2.0,0.03193024078452625,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/users/search?first_name=%D0%92&last_name=%D0%9B%D0%B0%D0%B2%D1%80%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B0,1,0,71.60743299755268,71.60743299755268,71.60743299755268,71.60743299755268,2.0,0.03193024078452625,0.0,72,72,72,72,72,72,72,72,72,72,72
